Date,Day,Day,Period,Location,Approx Time,People in Room,Obstructions,Comments
2020/12/17,Thu,d14,p04,l01 to l08,6:00-6:30pm,"2 on Tables 1 and 2, 1 walking",Closed door,Antennas on mount slightly tilted to arbitrary degree
2020/12/17,Thu,d14,p05,l01 to l08,6:30-7:00pm,1 on Table 1,Closed door,Antennas on mount slightly tilted to arbitrary degree
2020/12/17,Thu,d14,p06,l01 to l08,7:00-7:30pm,1 on Table 1,Closed door,Antennas returned to default orientation
2020/12/21,Mon,d15,p01,l01 to l08,4:30-5:00pm,"3 on Tables 1, 3 and 5",Closed door,
2020/12/21,Mon,d15,p02,l01 to l08,5:30-6:00pm,"3 on Tables 1, 3 and 5",Closed door,
2020/12/21,Mon,d15,p03,l01 to l08,6:00-6:30pm,"3 on Tables 1, 3 and 5",Closed door,
2020/12/21,Mon,d15,p04,l01 to l08,6:30-7:00pm,2 on Tables 1 and 2,Closed door,Antennas on mount slightly tilted to arbitrary degree
2020/12/21,Mon,d15,p05,l01 to l08,7:00-7:30pm,2 on Tables 1 and 2,Closed door,Antennas on mount slightly tilted to arbitrary degree
2020/12/22,Tue,d16,p01,l01 to l08,4:00-4:30pm,1 on Table 1,Closed door,
2020/12/22,Tue,d16,p02,l01 to l08,4:30-5:00pm,1 on Table 1,Closed door,
2020/12/22,Tue,d16,p03,l01 to l08,5:00-5:30pm,1 on Table 1,Closed door,
2020/12/22,Tue,d16,p04,l01 to l08,5:30-6:00pm,1 on Table 1,Closed door,Antennas on mount slightly tilted to arbitrary degree
2020/12/22,Tue,d16,p05,l01 to l08,6:00-6:30pm,1 on Table 1,Closed door,Antennas on mount slightly tilted to arbitrary degree
2020/12/22,Tue,d16,p06,l01 to l08,6:30-7:00pm,1 on Table 1,Closed door,Antennas on mount slightly tilted to arbitrary degree
2020/12/29,Tue,d17,p01,l01 to l08,3:00-3:30pm,2 on Tables 1 and 5,Closed door,
2020/12/29,Tue,d17,p02,l01 to l08,3:30-4:00pm,2 on Tables 1 and 5,Closed door,
2020/12/29,Tue,d17,p03,l01 to l08,4:00-4:30pm,1 on Table 1,Closed door,Antennas on mount slightly tilted to arbitrary degree
2020/12/29,Tue,d17,p04,l01 to l08,4:30-5:00pm,1 on Table 1,Closed door,Antennas on mount slightly tilted to arbitrary degree
2020/12/29,Tue,d17,p05,l01 to l08,5:00-5:30pm,1 on Table 1,Closed door,
2020/12/29,Tue,d17,p06,l01 to l08,5:30-6:00pm,1 on Table 1,Closed door,
2020/12/30,Wed,d18,p01,l01 to l08,4:00-4:30pm,1 on Table 1,Closed door,
2020/12/30,Wed,d18,p02,l01 to l08,4:30-5:00pm,1 on Table 1,Closed door,
2020/12/30,Wed,d18,p03,l01 to l08,5:00-5:30pm,1 on Table 1,Closed door,
2020/12/30,Wed,d18,p04,l01 to l08,5:30-6:00pm,1 on Table 1,Closed door,
2021/1/5,Tue,d19,p01,l01 to l08,4:00-4:30pm,1 on Table 1,Closed door,
2021/1/5,Tue,d19,p02,l01 to l08,4:30-5:00pm,1 on Table 1,Closed door,
2021/1/5,Tue,d19,p03,l01 to l08,5:00-5:30pm,1 on Table 1,Closed door,
2021/1/12,Tue,d20,p01,l01 to l08,4:00-4:30pm,1 on Table 1,Closed door,
2021/1/12,Tue,d20,p02,l01 to l08,4:30-5:00pm,1 on Table 1,Closed door,
2021/1/12,Tue,d20,p03,l01 to l08,5:00-5:30pm,1 on Table 1,Closed door,
2021/1/12,Tue,d20,p04,l01 to l08,5:30-6:00pm,1 on Table 1,Closed door,
2021/1/12,Tue,d20,p05,l01 to l08,6:30-7:00pm,1 on Table 1,Closed door,
